Country,1820,1920,2020
Afghanistan,28.01,37.12,63.39
Albania,35.4,34.59,77.9
Algeria,28.82,32.82,76.2
Angola,26.98,36.43,65.2
Antigua and Barbuda,33.54,33.75,76.25
Argentina,33.2,51.16,74.61
Armenia,34,28,73.99
Australia,34.05,60.72,82.91
Austria,34.4,50.17,81.47
Azerbaijan,29.17,23.65,70.37
Bahamas,35.18,34.76,72.3
Bahrain,30.3,34.7,76.34
Bangladesh,25.5,22.77,74.68
Barbados,32.12,33.07,76.21
Belarus,36.2,31.35,73.46
Belgium,40.16,53.8,80.2
Belize,26.5,32.36,72.12
Benin,31,37.47,64.63
Bhutan,28.8,33.88,73.33
Bolivia,33,31.23,69.83
Bosnia and Herzegovina,35.1,34.95,75.36
Botswana,33.6,36.67,61.65
Brazil,32,30.99,73.58
Brunei,29.2,33.6,74.43
Bulgaria,36.68,44.23,71.85
Burkina Faso,29.2,32.9,61.81
Burundi,31.5,32.41,63.96
Cambodia,35,38.53,70.02
Cameroon,28.75,30.89,63.46
Canada,39.03,56.69,81.49
Cape Verde,33.8,37.51,73.08
Central African Republic,30,36.34,52.42
Chad,30.9,36.04,60.52
Chile,32,30.35,79.1
China,32,32,77.67
Colombia,32,34.36,77.79
Comoros,32.1,34.42,68.81
"Congo, Dem. Rep.",31.6,35.2,65.15
"Congo, Rep.",32.7,32.91,65.44
Costa Rica,30.21,35.65,78.94
Cote d'Ivoire,31.16,37.81,64.41
Croatia,36.1,34.13,77.86
Cuba,35.04,40.65,78.7
Cyprus,38.5,46.31,80.81
Czech Republic,34.95,49.85,78.46
Denmark,43.14,57.72,81.23
Djibouti,29.9,36.51,66.84
Dominican Republic,29.9,34.92,72.66
Ecuador,32.9,34.2,73.88
Egypt,33,34.49,70.96
El Salvador,28.7,29.85,75.06
Equatorial Guinea,29.8,32.75,66.13
Eritrea,30.2,32.51,63.97
Estonia,43.39,46.36,77.65
Ethiopia,29.7,29.7,68.96
Fiji,26.1,28.7,68.44
Finland,37.29,47.67,81.97
France,39.21,51.96,82.17
Gabon,30.6,37.35,67.83
Gambia,28.8,42.21,66.86
Georgia,31.87,37,72.58
Germany,38.37,53.3,81
Ghana,28,30.56,66.41
Greece,36.6,46.18,80.43
Grenada,31.4,38.74,73.33
Guatemala,25.8,26.33,71.46
Guinea,29.71,34.18,61.28
Guinea-Bissau,32,29.16,61.02
Guyana,31.12,32.33,66.8
Haiti,29,32.1,63.87
Honduras,33.9,33.88,70.68
"Hong Kong, China",34.9,34.9,84.45
Hungary,36,41.97,75.81
Iceland,36.56,54.82,83.98
India,25.44,28.53,70.78
Indonesia,30,30,71.39
Iran,25.6,25.6,76.17
Iraq,31.2,43.05,72.09
Ireland,38.3,56.27,81.06
Israel,32,34.76,81.95
Italy,29.69,45.57,81.9
Jamaica,34.2,35.76,76.17
Japan,36.41,42.25,84.74
Jordan,31.7,37.06,76.93
Kazakhstan,26.2,19.67,71.17
Kenya,25.5,28.25,66.44
Kiribati,24.9,25.66,60.84
North Korea,26,28,73.24
South Korea,25.8,28,82.79
Kuwait,26,30.46,81.18
Kyrgyz Republic,23.94,16.32,72.93
Lao,31.9,31.18,69.12
Latvia,33,47.71,75.86
Lebanon,29.7,29.46,76.16
Lesotho,32.8,38.27,52.01
Liberia,31.1,34.27,66.18
Libya,33.1,38.67,75.53
Lithuania,28.9,44.51,74.84
Luxembourg,36.9,55.21,82.02
"Macedonia, FYR",36.1,34.89,72.83
Madagascar,30.5,33.7,65.6
Malawi,30.3,29.43,64.78
Malaysia,30.6,30.61,75.12
Maldives,32.65,31.4,79.11
Mali,26.41,31.9,61.97
Malta,28.7,50.24,82.27
Mauritania,32,37.43,70.68
Mauritius,28.7,31.19,75.53
Mexico,26.9,31.82,72.97
"Micronesia, Fed. Sts.",26.7,25.49,64.18
Moldova,33.15,31.45,73.32
Mongolia,31.8,30.1,68.17
Montenegro,35.4,38.51,74.43
Morocco,33.1,32.9,73
Mozambique,30.28,38.21,58.37
Myanmar,30.8,31.54,69.38
Namibia,32.4,39.72,65.42
Nepal,32.8,36.38,71.09
Netherlands,39.86,57.91,81.04
New Zealand,34.05,56.48,81.82
Nicaragua,25.4,27.04,75.4
Niger,30.8,32.41,62.65
Nigeria,30.4,36.91,64.52
Norway,46.96,59.05,83.21
Oman,32.3,36.22,72.7
Pakistan,25.8,29.96,65.88
Panama,32.9,35.83,76.96
Papua New Guinea,31.5,40.81,64.78
Paraguay,35.5,34.95,75.71
Peru,35.7,33.1,77.38
Philippines,30.9,31.04,71.8
Poland,35.9,46.45,76.7
Portugal,35.6,35.88,80.92
Qatar,30.8,34.7,76.22
Romania,35.7,35.49,74.12
Russia,29.57,20.5,71.17
Rwanda,31.8,30.34,68.68
St. Lucia,28.01,27.94,75.21
St. Vincent and the Grenadines,25.99,27.17,73.01
Samoa,25.4,28.78,70.55
Sao Tome and Principe,31,28.93,70.72
Saudi Arabia,32.1,36.97,74.34
Senegal,25.2,30.09,68.47
Serbia,35.5,34.05,75.15
Seychelles,37,51.18,73.6
Sierra Leone,25.1,31.51,61.94
Singapore,30.08,33.5,84.89
Slovak Republic,36.4,43.83,76.67
Slovenia,36.6,36.6,80.41
Solomon Islands,25.1,24.28,59.24
Somalia,29.4,35.5,58.63
South Africa,33.5,37.59,64.33
South Sudan,26.67,39.52,63.87
Spain,29.5,39.28,81.49
Sri Lanka,32.6,32.5,77.31
Sudan,31.4,32.99,70.55
Suriname,32.9,34.04,72.4
Swaziland,32.3,33.71,57.98
Sweden,40.23,58.92,82.03
Switzerland,38,54.42,83.18
Syria,31.1,34.15,74.37
Taiwan,28.3,29.49,80.37
Tajikistan,24.24,17.01,69.63
Tanzania,32.2,33.91,67.25
Thailand,30.4,31.5,78.45
Timor-Leste,28.95,37.4,70.72
Togo,31.3,37.55,65.16
Tonga,28.2,29.28,73.03
Trinidad and Tobago,32.9,39,74.82
Tunisia,6.5,31.42,76.97
Turkey,35,31.16,77.79
Turkmenistan,24,14.84,70.88
Uganda,25.3,28.58,66.42
Ukraine,36.6,29.59,73.21
United Arab Emirates,30.7,38.58,73.95
United Kingdom,41.31,56.69,79.41
United States,39.41,55.48,76.99
Uruguay,32.9,32.69,77.35
Uzbekistan,26.93,20,68.37
Vanuatu,24.3,26.78,65.51
Venezuela,32.2,33.93,75.1
Vietnam,32,32.16,74.51
Palestine,32.1,35.68,73.64
Yemen,23.39,28.68,67.76
Zambia,32.6,35.45,63.08
Zimbabwe,33.7,36.39,60.69
