Country,"Current health expenditure per capita, PPP",Population (in thousands),Year,Region,Inequality in life expectancy (Atkinson index)
Afghanistan,80,38972,2020,Eastern Mediterranean,0.26433697
Algeria,215,43452,2020,Africa,0.1279661
Andorra,3337,78,2020,Europe,0.054219212
Angola,51,33428,2020,Africa,0.28911975
Antigua and Barbuda,830,93,2020,Americas,0.04947395
Argentina,864,45036,2020,Americas,0.07699285
Armenia,552,2806,2020,Europe,0.0726631
Australia,5901,25670,2020,Western Pacific,0.0284413
Austria,5585,8901,2020,Europe,0.03227802
Azerbaijan,191,10285,2020,Europe,0.12658708
Bahamas,1851,406,2020,Americas,0.08865482
Bahrain,1110,1477,2020,Eastern Mediterranean,0.046026934
Bangladesh,51,167421,2020,South-East Asia,0.1576729
Barbados,1200,281,2020,Americas,0.08238046
Belarus,408,9634,2020,Europe,0.034365088
Belgium,5009,11522,2020,Europe,0.033874735
Belize,278,395,2020,Americas,0.09200206
Benin,32,12643,2020,Africa,0.3332621
Bhutan,134,773,2020,South-East Asia,0.15205336
Bosnia and Herzegovina,591,3318,2020,Europe,0.040009033
Botswana,363,2546,2020,Africa,0.21791562
Brazil,701,213196,2020,Americas,0.09990485
Bulgaria,857,6951,2020,Europe,0.052211154
Burkina Faso,54,21523,2020,Africa,0.3203684
Burundi,16,12220,2020,Africa,0.26176074
Cambodia,116,16397,2020,Western Pacific,0.15855378
Cameroon,58,26491,2020,Africa,0.29141465
Canada,5619,37889,2020,Americas,0.04218762
Central Africaican Republic,42,5343,2020,Africa,0.3625425
Chad,35,16645,2020,Africa,0.39262882
Chile,1278,19300,2020,Americas,0.048980214
China,583,1424930,2020,Western Pacific,0.05557677
Colombia,477,50931,2020,Americas,0.09151476
Comoros,81,806,2020,Africa,0.26080605
Congo,81,5702,2020,Africa,0.21424232
Costa Rica,953,5123,2020,Americas,0.058810554
Croatia,1095,4058,2020,Europe,0.03673587
Cuba,1186,11301,2020,Americas,0.04558047
Cyprus,2245,888,2020,Europe,0.026752615
Denmark,6438,5823,2020,Europe,0.032568738
Djibouti,63,1090,2020,Eastern Mediterranean,0.2615965
Dominica,427,72,2020,Americas,0.09179593
Dominican Republic,354,11000,2020,Americas,0.17717439
Ecuador,479,17589,2020,Americas,0.09034753
Egypt,151,107465,2020,Eastern Mediterranean,0.10939401
El Salvador,386,6293,2020,Americas,0.09652708
Equatorial Guinea,237,1596,2020,Africa,0.30716783
Eritrea,24,3556,2020,Africa,0.20838219
Estonia,1788,1329,2020,Europe,0.030507073
Eswatini,219,1181,2020,Africa,0.23167919
Ethiopia,29,117191,2020,Africa,0.2376521
Fiji,186,920,2020,Western Pacific,0.1519716
Finland,4726,5529,2020,Europe,0.028785331
France,4769,67320,2020,Europe,0.038557097
Gabon,229,2293,2020,Africa,0.20179239
Gambia,19,2574,2020,Africa,0.23901102
Georgia,320,3766,2020,Europe,0.06672582
Germany,5930,83167,2020,Europe,0.033994332
Ghana,85,32180,2020,Africa,0.23221132
Greece,1675,10719,2020,Europe,0.036262337
Grenada,491,124,2020,Americas,0.09787959
Guatemala,289,17363,2020,Americas,0.1422203
Guinea,47,13205,2020,Africa,0.3568176
Guinea-Bissau,61,2016,2020,Africa,0.30148867
Guyana,378,797,2020,Americas,0.16102518
Haiti,44,11307,2020,Americas,0.26558566
Honduras,213,10122,2020,Americas,0.10235704
Hungary,1163,9770,2020,Europe,0.038613543
Iceland,5637,367,2020,Europe,0.02085697
India,57,1396387,2020,South-East Asia,0.17395939
Indonesia,133,271858,2020,South-East Asia,0.13527344
Iran,573,87290,2020,Eastern Mediterranean,0.09131319
Iraq,202,42557,2020,Eastern Mediterranean,0.14412837
Ireland,6092,4964,2020,Europe,0.027672963
Israel,3867,8757,2020,Europe,0.032537863
Italy,3057,59641,2020,Europe,0.027192388
Jamaica,326,2820,2020,Americas,0.089113
Japan,4388,125245,2020,Western Pacific,0.026303668
Jordan,299,10929,2020,Eastern Mediterranean,0.0945221
Kazakhstan,342,18979,2020,Europe,0.07426849
Kenya,83,51986,2020,Africa,0.21469112
Kiribati,167,126,2020,Western Pacific,0.230012
Kuwait,1533,4360,2020,Eastern Mediterranean,0.056624226
Kyrgyzstan,64,6425,2020,Europe,0.108064614
Latvia,1313,1908,2020,Europe,0.042035118
Lebanon,994,5663,2020,Eastern Mediterranean,0.05472674
Lesotho,107,2254,2020,Africa,0.33684525
Liberia,57,5088,2020,Africa,0.30762208
Lithuania,1522,2794,2020,Europe,0.04094921
Luxembourg,6757,626,2020,Europe,0.03930247
Madagascar,18,28225,2020,Africa,0.2407745
Malawi,33,19377,2020,Africa,0.20291165
Malaysia,419,33200,2020,Western Pacific,0.061020833
Maldives,826,514,2020,South-East Asia,0.044444572
Mali,35,21224,2020,Africa,0.3357751
Malta,3135,515,2020,Europe,0.030931083
Marshall Islands,731,43,2020,Western Pacific,0.17841673
Mauritania,59,4499,2020,Africa,0.2625055
Mauritius,560,1298,2020,Africa,0.106133424
Mexico,539,125998,2020,Americas,0.096391894
Monaco,3085,37,2020,Europe,0.035502642
Mongolia,200,3294,2020,Western Pacific,0.097763605
Montenegro,866,629,2020,Europe,0.030085132
Morocco,187,36689,2020,Eastern Mediterranean,0.11230697
Mozambique,34,31178,2020,Africa,0.2878247
Myanmar,72,53423,2020,South-East Asia,0.2147727
Namibia,380,2489,2020,Africa,0.20453483
Nauru,1144,12,2020,Western Pacific,0.13736218
Nepal,58,29349,2020,South-East Asia,0.15937047
New Zealand,4202,5061,2020,Western Pacific,0.039881334
Nicaragua,161,6756,2020,Americas,0.10209794
Niger,35,24334,2020,Africa,0.2933094
Nigeria,70,208327,2020,Africa,0.4021093
Norway,7704,5368,2020,Europe,0.024965845
Oman,845,4543,2020,Eastern Mediterranean,0.06901126
Pakistan,38,227197,2020,Eastern Mediterranean,0.27442393
Palau,2640,18,2020,Western Pacific,0.12931836
Panama,1215,4294,2020,Americas,0.11141712
Papua New Guinea,64,9750,2020,Western Pacific,0.21471877
Paraguay,406,6619,2020,Americas,0.11731341
Peru,389,33305,2020,Americas,0.08567628
Philippines,165,112191,2020,Western Pacific,0.14700928
Poland,1026,37958,2020,Europe,0.04099817
Portugal,2342,10296,2020,Europe,0.030599909
Qatar,2188,2760,2020,Eastern Mediterranean,0.040121675
Romania,810,19329,2020,Europe,0.049721953
Rwanda,57,13146,2020,Africa,0.20089856
Saint Kitts and Nevis,1105,48,2020,Americas,0.08054526
Saint Lucia,608,179,2020,Americas,0.09211697
Saint Vincent and the Grenadines,402,105,2020,Americas,0.0900256
Samoa,202,215,2020,Western Pacific,0.10617065
San Marino,3938,34,2020,Europe,0.030041607
Sao Tome and Principe,107,219,2020,Africa,0.106798306
Senegal,77,16436,2020,Africa,0.18502732
Serbia,672,6927,2020,Europe,0.041514907
Seychelles,727,106,2020,Africa,0.09679778
Sierra Leone,43,8234,2020,Africa,0.3588799
Singapore,3537,5910,2020,Western Pacific,0.023881784
Slovakia,1394,5458,2020,Europe,0.04720211
Slovenia,2417,2096,2020,Europe,0.026927985
Solomon Islands,99,691,2020,Western Pacific,0.12592691
South Africaica,490,58802,2020,Africa,0.16511704
South Sudan,33,10606,2020,Africa,0.3695827
Spain,2901,47333,2020,Europe,0.02867496
Sri Lanka,151,21715,2020,South-East Asia,0.0542801
Sudan,23,44345,2020,Eastern Mediterranean,0.25496218
Suriname,460,607,2020,Americas,0.113824934
Sweden,6028,10328,2020,Europe,0.027955802
Switzerland,10310,8606,2020,Europe,0.034416225
Tajikistan,70,9543,2020,Europe,0.16779023
Thailand,305,71476,2020,South-East Asia,0.071773894
Togo,53,8443,2020,Africa,0.28406757
Tonga,248,105,2020,Western Pacific,0.08886337
Trinidad and Tobago,1031,1518,2020,Americas,0.11096746
Tunisia,222,12162,2020,Eastern Mediterranean,0.101219185
Turkmenistan,484,6250,2020,Europe,0.20207268
Tuvalu,1071,11,2020,Western Pacific,0.14703637
Uganda,34,44405,2020,Africa,0.2100164
Ukraine,270,43910,2020,Europe,0.05694338
United Arab Emirates,2192,9287,2020,Eastern Mediterranean,0.046457514
United Kingdom,4927,67026,2020,Europe,0.038715903
Uruguay,1430,3429,2020,Americas,0.052983176
Uzbekistan,121,33527,2020,Europe,0.08950359
Vanuatu,114,312,2020,Western Pacific,0.14496027
Zambia,54,18928,2020,Africa,0.26112387
Zimbabwe,51,15670,2020,Africa,0.24181432
United States of America,11702,335942,2020,Americas,0.06
