"Country","Life_exptecancy_1820","Life_exptecancy_1920","Life_exptecancy_2020","Population_1820","Population_1920","Population_2020","Cumulative_share_1820","Cumulative_share_1920","Cumulative_share_2020"
"Lesotho",32.8,38.27,52.01,273955,320591,2254100,0.787184597736246,0.730271781320111,0.000287878755338964
"Central African Republic",30,36.34,52.42,485925,966611,5343020,0.355682615750288,0.695437369657316,0.000970253959345525
"Swaziland",32.3,33.71,57.98,77437,149409,1180655,0.784380591208932,0.651564510170294,0.00112103941335587
"Mozambique",30.28,38.21,58.37,2128167,3756127,31178239,0.373691836445295,0.730102438516927,0.00510291805094105
"Somalia",29.4,35.5,58.63,1013114,1594481,16537016,0.283330326105522,0.689483225755764,0.00721491644635408
"Solomon Islands",25.1,24.28,59.24,57369,144333,691191,0.00525715983993541,0.0643780094740651,0.00730319079300308
"Chad",30.9,36.04,60.52,1564858,1684657,16644701,0.397625161942518,0.694704403215659,0.00942894200495872
"Zimbabwe",33.7,36.39,60.69,1075333,1528456,15669666,0.803238732436914,0.699076405679382,0.011430168190424
"Kiribati",24.9,25.66,60.84,17928,32455,126463,0.00447767617300604,0.069404112387482,0.0114463192090285
"Guinea-Bissau",32,29.16,61.02,218011,344458,2015828,0.771915246304026,0.245722826357865,0.0117037674391946
"Guinea",29.71,34.18,61.28,984835,1845110,13205153,0.355058880669625,0.661930136279082,0.0133902423115164
"Botswana",33.6,36.67,61.65,112139,227317,2546402,0.802254137343876,0.7013072739777,0.0137154519465604
"Burkina Faso",29.2,32.9,61.81,1668963,2816241,21522626,0.282402699897559,0.641207797785858,0.0164641795027939
"Sierra Leone",25.1,31.51,61.94,793950,1263887,8233970,0.00520463170595969,0.3595784618989,0.0175157677353916
"Mali",26.41,31.9,61.97,1405317,3040300,21224040,0.256558962362049,0.375183748966399,0.0202263618609692
"Niger",30.8,32.41,62.65,864668,1649641,24333639,0.396179445664721,0.631861417892774,0.0233340934204331
"Zambia",32.6,35.45,63.08,1011587,1462906,18927715,0.786604094512053,0.682089260504877,0.0257514160927239
"Afghanistan",28.01,37.12,63.39,3288817,10188845,38972230,0.271616383755082,0.721541668597137,0.030728691752714
"Cameroon",28.75,30.89,63.46,1875001,2839117,26491087,0.275645759237532,0.319429025916908,0.0341119583128206
"Haiti",29,32.1,63.87,718914,2215834,11306801,0.280062221716784,0.621094972104623,0.0355559882133332
"South Sudan",26.67,39.52,63.87,1063732,2168997,10606227,0.257556313855975,0.745073980119497,0.0369105454324461
"Burundi",31.5,32.41,63.96,907290,1429644,12220227,0.408942573604026,0.63261658545055,0.0384712320651242
"Eritrea",30.2,32.51,63.97,210225,591172,3555868,0.371685106804724,0.635834574109677,0.0389253640264345
"Micronesia, Fed. Sts.",26.7,25.49,64.18,16464,27177,112106,0.257571388603622,0.0643923649280926,0.0389396814638801
"South Africa",33.5,37.59,64.33,1584887,7168076,58801927,0.802117582874162,0.7272165406287,0.0464494749762764
"Cote d'Ivoire",31.16,37.81,64.41,1087409,1707305,26811790,0.402888117649352,0.728118374474908,0.0498736996041144
"Nigeria",30.4,36.91,64.52,12128130,22927580,208327405,0.385892461310066,0.71341809638826,0.0764798989982834
"Benin",31,37.47,64.63,639344,1429764,12643123,0.400210316352644,0.722881154952284,0.0780945951132904
"Malawi",30.3,29.43,64.78,1132401,1868175,19377061,0.374787717676486,0.246724033836584,0.0805693052871102
"Papua New Guinea",31.5,40.81,64.78,755065,554530,9749640,0.409633925300593,0.747137968179545,0.081814464875506
"Congo, Dem. Rep.",31.6,35.2,65.15,5212490,8182274,92853164,0.414406579052045,0.6813165232701,0.093673057343278
"Togo",31.3,37.55,65.16,447125,881367,8442580,0.404298321652641,0.723430214489552,0.0947512878664356
"Angola",26.98,36.43,65.2,1580933,2838595,33428486,0.266759808964052,0.700575810323941,0.099020553179663
"Namibia",32.4,39.72,65.42,175407,283647,2489098,0.784541197152844,0.745223808337054,0.0993384443265317
"Congo, Rep.",32.7,32.91,65.44,317518,529118,5702174,0.786933759392484,0.644536491996222,0.100066688305879
"Vanuatu",24.3,26.78,65.51,27955,59170,311685,0.00446126095946011,0.0703141848919853,0.100106494654247
"Madagascar",30.5,33.7,65.6,1692445,2495724,28225177,0.391667710304216,0.651485589243378,0.103711227729081
"Pakistan",25.8,29.96,65.88,13696004,21780196,227196741,0.24058587365798,0.285408481922099,0.13272729401547
"Equatorial Guinea",29.8,32.75,66.13,80861,117411,1596049,0.355132918520057,0.636632121342623,0.132931130845947
"Liberia",31.1,34.27,66.18,313863,575156,5087584,0.400518596956392,0.663221804398708,0.133580883452133
"Ghana",28,30.56,66.41,2015328,3173635,32180401,0.268605081135242,0.316199913986231,0.137690751597374
"Uganda",25.3,28.58,66.42,2126967,3555241,44404611,0.00812783348647637,0.243534753444409,0.143361815057731
"Kenya",25.5,28.25,66.44,2861182,3566429,51985780,0.221489482928886,0.0828525940377794,0.150001095321129
"Guyana",31.12,32.33,66.8,163465,295538,797202,0.401892465543887,0.630965407151588,0.150102908692104
"Djibouti",29.9,36.51,66.84,23113,44643,1090156,0.355154081216994,0.700599391680755,0.150242136211914
"Gambia",28.8,42.21,66.86,103443,193150,2573995,0.276098584916115,0.751435203643955,0.150570869842565
